order_id,user_id,order_date,product_id,qty,year,month,month _name
1,5,2015-01-26,18,3,2015,1,January
2,9,2015-08-03,1,2,2015,8,August
3,13,2015-09-04,19,2,2015,9,September
4,16,2015-04-23,20,1,2015,4,April
5,27,2015-07-05,1,1,2015,7,July
6,29,2015-06-20,19,1,2015,6,June
7,5,2015-06-22,25,1,2015,6,June
8,9,2015-07-26,9,1,2015,7,July
9,31,2015-07-28,15,2,2015,7,July
10,11,2015-04-08,1,1,2015,4,April
11,42,2015-11-08,14,2,2015,11,November
12,23,2015-08-18,4,1,2015,8,August
13,22,2015-08-19,3,1,2015,8,August
14,21,2015-08-20,1,2,2015,8,August
15,4,2015-08-30,22,3,2015,8,August
16,43,2015-07-09,8,1,2015,7,July
17,22,2015-09-13,9,1,2015,9,September
18,54,2015-09-25,19,1,2015,9,September
19,11,2015-09-30,6,1,2015,9,September
20,55,2015-04-10,1,1,2015,4,April
21,12,2015-10-10,3,1,2015,10,October
22,61,2015-10-21,1,2,2015,10,October
23,52,2015-10-24,9,2,2015,10,October
24,25,2015-05-11,4,2,2015,5,May
25,7,2015-11-18,5,1,2015,11,November
26,31,2015-03-12,1,3,2015,3,March
27,12,2015-06-12,1,1,2015,6,June
28,46,2015-06-12,3,2,2015,6,June
29,40,2015-08-12,1,1,2015,8,August
30,67,2015-12-25,22,1,2015,12,December
31,62,2015-12-30,9,1,2015,12,December
32,73,2016-03-01,9,3,2016,3,March
33,42,2016-06-01,20,1,2016,6,June
34,47,2016-06-01,15,2,2016,6,June
35,61,2016-09-01,5,3,2016,9,September
36,71,2016-09-01,7,2,2016,9,September
37,72,2016-01-15,10,1,2016,1,January
38,32,2016-01-28,16,2,2016,1,January
39,75,2016-05-02,1,2,2016,5,May
40,56,2016-02-14,12,1,2016,2,February
41,6,2016-02-24,9,3,2016,2,February
42,61,2016-02-26,4,1,2016,2,February
43,85,2016-02-29,9,1,2016,2,February
44,85,2016-02-29,19,2,2016,2,February
45,85,2016-02-29,14,1,2016,2,February
46,38,2016-12-03,11,1,2016,12,December
47,38,2016-12-03,12,1,2016,12,December
48,38,2016-12-03,8,1,2016,12,December
49,38,2016-12-03,23,1,2016,12,December
50,78,2016-03-22,8,2,2016,3,March
51,80,2016-03-30,1,2,2016,3,March
52,35,2016-01-04,9,1,2016,1,January
53,77,2016-02-04,1,3,2016,2,February
54,67,2016-04-21,4,2,2016,4,April
55,39,2016-04-24,4,1,2016,4,April
56,18,2016-04-26,16,3,2016,4,April
57,25,2016-04-26,11,1,2016,4,April
58,50,2016-02-05,12,1,2016,2,February
59,85,2016-02-05,15,1,2016,2,February
60,22,2016-03-05,17,3,2016,3,March
61,93,2016-12-05,9,1,2016,12,December
62,93,2016-05-18,9,1,2016,5,May
63,27,2016-05-19,4,2,2016,5,May
64,16,2016-05-28,3,1,2016,5,May
65,36,2016-05-29,1,1,2016,5,May
66,36,2016-05-29,20,1,2016,5,May
67,36,2016-05-29,7,3,2016,5,May
68,36,2016-05-29,21,2,2016,5,May
69,72,2016-06-15,9,1,2016,6,June
70,87,2016-06-15,1,1,2016,6,June
71,95,2016-06-25,8,1,2016,6,June
72,65,2016-06-30,1,1,2016,6,June
73,8,2016-12-07,17,1,2016,12,December
74,81,2016-07-20,24,1,2016,7,July
75,102,2016-07-20,1,1,2016,7,July
76,78,2016-07-23,4,1,2016,7,July
77,93,2016-07-23,15,1,2016,7,July
78,103,2016-07-23,24,1,2016,7,July
79,84,2016-07-25,9,2,2016,7,July
80,50,2016-07-29,1,1,2016,7,July
81,50,2016-07-29,6,1,2016,7,July
82,50,2016-07-29,4,2,2016,7,July
83,78,2016-08-14,4,2,2016,8,August
84,101,2016-08-16,4,1,2016,8,August
85,81,2016-08-17,5,1,2016,8,August
86,2,2016-08-18,24,3,2016,8,August
87,88,2016-08-20,22,2,2016,8,August
88,93,2016-08-25,4,3,2016,8,August
89,86,2016-08-27,5,2,2016,8,August
90,81,2016-08-30,1,1,2016,8,August
91,98,2016-08-30,23,1,2016,8,August
92,104,2016-09-09,1,2,2016,9,September
93,58,2016-09-15,11,1,2016,9,September
94,96,2016-09-17,25,2,2016,9,September
95,107,2016-09-23,1,3,2016,9,September
96,80,2016-09-25,4,1,2016,9,September
97,101,2016-09-25,25,3,2016,9,September
98,33,2016-09-28,4,3,2016,9,September
99,108,2016-09-29,4,1,2016,9,September
100,3,2016-06-10,17,1,2016,6,June
101,25,2016-06-10,20,1,2016,6,June
102,94,2016-07-10,16,3,2016,7,July
103,115,2016-10-15,4,3,2016,10,October
